Starting task 4: n=100, tau=small
  Rep 009: fitting model int234_1
  Rep 009: fitting model full
  Rep 010: fitting model null
  Rep 010: fitting model x1
  Rep 010: fitting model x2
  Rep 010: fitting model x3
  Rep 010: fitting model x4
  Rep 010: fitting model main
  Rep 010: fitting model int12_3
  Rep 010: fitting model int12_4
  Rep 010: fitting model int13_2
  Rep 010: fitting model int13_4
  Rep 010: fitting model int14_2
  Rep 010: fitting model int14_3
  Rep 010: fitting model int23_1
  Rep 010: fitting model int23_4
  Rep 010: fitting model int24_1
  Rep 010: fitting model int24_3
  Rep 010: fitting model int34_1
  Rep 010: fitting model int34_2
  Rep 010: fitting model int12
  Rep 010: fitting model int13
  Rep 010: fitting model int14
  Rep 010: fitting model int23
  Rep 010: fitting model int24
  Rep 010: fitting model int34
  Rep 010: fitting model int123_4
  Rep 010: fitting model int124_3
  Rep 010: fitting model int134_2
  Rep 010: fitting model int234_1
  Rep 010: fitting model full
  Rep 011: fitting model null
  Rep 011: fitting model x1
  Rep 011: fitting model x2
  Rep 011: fitting model x3
  Rep 011: fitting model x4
  Rep 011: fitting model main
  Rep 011: fitting model int12_3
  Rep 011: fitting model int12_4
  Rep 011: fitting model int13_2
  Rep 011: fitting model int13_4
  Rep 011: fitting model int14_2
  Rep 011: fitting model int14_3
  Rep 011: fitting model int23_1
  Rep 011: fitting model int23_4
  Rep 011: fitting model int24_1
  Rep 011: fitting model int24_3
  Rep 011: fitting model int34_1
  Rep 011: fitting model int34_2
  Rep 011: fitting model int12
  Rep 011: fitting model int13
  Rep 011: fitting model int14
  Rep 011: fitting model int23
  Rep 011: fitting model int24
  Rep 011: fitting model int34
  Rep 011: fitting model int123_4
  Rep 011: fitting model int124_3
  Rep 011: fitting model int134_2
  Rep 011: fitting model int234_1
  Rep 011: fitting model full
  Rep 012: fitting model null
  Rep 012: fitting model x1
  Rep 012: fitting model x2
  Rep 012: fitting model x3
  Rep 012: fitting model x4
  Rep 012: fitting model main
  Rep 012: fitting model int12_3
  Rep 012: fitting model int12_4
  Rep 012: fitting model int13_2
  Rep 012: fitting model int13_4
  Rep 012: fitting model int14_2
  Rep 012: fitting model int14_3
  Rep 012: fitting model int23_1
  Rep 012: fitting model int23_4
  Rep 012: fitting model int24_1
  Rep 012: fitting model int24_3
  Rep 012: fitting model int34_1
  Rep 012: fitting model int34_2
  Rep 012: fitting model int12
  Rep 012: fitting model int13
  Rep 012: fitting model int14
  Rep 012: fitting model int23
  Rep 012: fitting model int24
  Rep 012: fitting model int34
  Rep 012: fitting model int123_4
  Rep 012: fitting model int124_3
  Rep 012: fitting model int134_2
  Rep 012: fitting model int234_1
  Rep 012: fitting model full
  Rep 013: fitting model null
  Rep 013: fitting model x1
  Rep 013: fitting model x2
  Rep 013: fitting model x3
  Rep 013: fitting model x4
  Rep 013: fitting model main
  Rep 013: fitting model int12_3
  Rep 013: fitting model int12_4
  Rep 013: fitting model int13_2
  Rep 013: fitting model int13_4
  Rep 013: fitting model int14_2
  Rep 013: fitting model int14_3
  Rep 013: fitting model int23_1
  Rep 013: fitting model int23_4
  Rep 013: fitting model int24_1
  Rep 013: fitting model int24_3
  Rep 013: fitting model int34_1
  Rep 013: fitting model int34_2
  Rep 013: fitting model int12
  Rep 013: fitting model int13
  Rep 013: fitting model int14
  Rep 013: fitting model int23
  Rep 013: fitting model int24
  Rep 013: fitting model int34
  Rep 013: fitting model int123_4
  Rep 013: fitting model int124_3
  Rep 013: fitting model int134_2
  Rep 013: fitting model int234_1
  Rep 013: fitting model full
  Rep 014: fitting model null
  Rep 014: fitting model x1
  Rep 014: fitting model x2
  Rep 014: fitting model x3
  Rep 014: fitting model x4
  Rep 014: fitting model main
  Rep 014: fitting model int12_3
  Rep 014: fitting model int12_4
  Rep 014: fitting model int13_2
  Rep 014: fitting model int13_4
  Rep 014: fitting model int14_2
  Rep 014: fitting model int14_3
  Rep 014: fitting model int23_1
  Rep 014: fitting model int23_4
  Rep 014: fitting model int24_1
  Rep 014: fitting model int24_3
  Rep 014: fitting model int34_1
  Rep 014: fitting model int34_2
  Rep 014: fitting model int12
  Rep 014: fitting model int13
  Rep 014: fitting model int14
  Rep 014: fitting model int23
  Rep 014: fitting model int24
  Rep 014: fitting model int34
  Rep 014: fitting model int123_4
  Rep 014: fitting model int124_3
  Rep 014: fitting model int134_2
  Rep 014: fitting model int234_1
  Rep 014: fitting model full
  Rep 015: fitting model null
  Rep 015: fitting model x1
  Rep 015: fitting model x2
  Rep 015: fitting model x3
  Rep 015: fitting model x4
  Rep 015: fitting model main
  Rep 015: fitting model int12_3
  Rep 015: fitting model int12_4
  Rep 015: fitting model int13_2
  Rep 015: fitting model int13_4
  Rep 015: fitting model int14_2
  Rep 015: fitting model int14_3
  Rep 015: fitting model int23_1
  Rep 015: fitting model int23_4
  Rep 015: fitting model int24_1
  Rep 015: fitting model int24_3
  Rep 015: fitting model int34_1
  Rep 015: fitting model int34_2
  Rep 015: fitting model int12
  Rep 015: fitting model int13
  Rep 015: fitting model int14
  Rep 015: fitting model int23
  Rep 015: fitting model int24
  Rep 015: fitting model int34
  Rep 015: fitting model int123_4
  Rep 015: fitting model int124_3
  Rep 015: fitting model int134_2
  Rep 015: fitting model int234_1
  Rep 015: fitting model full
  Rep 016: fitting model null
  Rep 016: fitting model x1
  Rep 016: fitting model x2
  Rep 016: fitting model x3
  Rep 016: fitting model x4
  Rep 016: fitting model main
  Rep 016: fitting model int12_3
  Rep 016: fitting model int12_4
  Rep 016: fitting model int13_2
  Rep 016: fitting model int13_4
  Rep 016: fitting model int14_2
  Rep 016: fitting model int14_3
  Rep 016: fitting model int23_1
  Rep 016: fitting model int23_4
  Rep 016: fitting model int24_1
  Rep 016: fitting model int24_3
  Rep 016: fitting model int34_1
  Rep 016: fitting model int34_2
  Rep 016: fitting model int12
  Rep 016: fitting model int13
  Rep 016: fitting model int14
  Rep 016: fitting model int23
  Rep 016: fitting model int24
  Rep 016: fitting model int34
  Rep 016: fitting model int123_4
  Rep 016: fitting model int124_3
  Rep 016: fitting model int134_2
  Rep 016: fitting model int234_1
  Rep 016: fitting model full
  Rep 017: fitting model null
  Rep 017: fitting model x1
  Rep 017: fitting model x2
  Rep 017: fitting model x3
  Rep 017: fitting model x4
  Rep 017: fitting model main
  Rep 017: fitting model int12_3
  Rep 017: fitting model int12_4
  Rep 017: fitting model int13_2
  Rep 017: fitting model int13_4
  Rep 017: fitting model int14_2
  Rep 017: fitting model int14_3
  Rep 017: fitting model int23_1
  Rep 017: fitting model int23_4
  Rep 017: fitting model int24_1
  Rep 017: fitting model int24_3
  Rep 017: fitting model int34_1
  Rep 017: fitting model int34_2
  Rep 017: fitting model int12
  Rep 017: fitting model int13
  Rep 017: fitting model int14
  Rep 017: fitting model int23
  Rep 017: fitting model int24
  Rep 017: fitting model int34
  Rep 017: fitting model int123_4
  Rep 017: fitting model int124_3
  Rep 017: fitting model int134_2
  Rep 017: fitting model int234_1
  Rep 017: fitting model full
  Rep 018: fitting model null
  Rep 018: fitting model x1
  Rep 018: fitting model x2
  Rep 018: fitting model x3
  Rep 018: fitting model x4
  Rep 018: fitting model main
  Rep 018: fitting model int12_3
  Rep 018: fitting model int12_4
  Rep 018: fitting model int13_2
  Rep 018: fitting model int13_4
  Rep 018: fitting model int14_2
  Rep 018: fitting model int14_3
  Rep 018: fitting model int23_1
  Rep 018: fitting model int23_4
  Rep 018: fitting model int24_1
  Rep 018: fitting model int24_3
  Rep 018: fitting model int34_1
  Rep 018: fitting model int34_2
  Rep 018: fitting model int12
  Rep 018: fitting model int13
  Rep 018: fitting model int14
  Rep 018: fitting model int23
  Rep 018: fitting model int24
  Rep 018: fitting model int34
  Rep 018: fitting model int123_4
  Rep 018: fitting model int124_3
  Rep 018: fitting model int134_2
  Rep 018: fitting model int234_1
  Rep 018: fitting model full
  Rep 019: fitting model null
  Rep 019: fitting model x1
  Rep 019: fitting model x2
  Rep 019: fitting model x3
  Rep 019: fitting model x4
  Rep 019: fitting model main
  Rep 019: fitting model int12_3
  Rep 019: fitting model int12_4
  Rep 019: fitting model int13_2
  Rep 019: fitting model int13_4
  Rep 019: fitting model int14_2
  Rep 019: fitting model int14_3
  Rep 019: fitting model int23_1
  Rep 019: fitting model int23_4
  Rep 019: fitting model int24_1
  Rep 019: fitting model int24_3
  Rep 019: fitting model int34_1
  Rep 019: fitting model int34_2
  Rep 019: fitting model int12
  Rep 019: fitting model int13
  Rep 019: fitting model int14
  Rep 019: fitting model int23
  Rep 019: fitting model int24
